iter	Passed	Remaining
1178	2031	15195
1179	2032	15193
1180	2034	15190
1181	2035	15187
1182	2037	15183
1183	2038	15180
1184	2040	15177
1185	2041	15174
1186	2043	15171
1187	2045	15169
1188	2046	15166
1189	2048	15163
1190	2049	15160
1191	2051	15158
1192	2053	15156
1193	2054	15153
1194	2056	15151
1195	2057	15147
1196	2059	15148
1197	2061	15145
1198	2063	15143
1199	2064	15140
1200	2066	15137
1201	2067	15133
1202	2069	15131
1203	2070	15128
1204	2072	15125
1205	2074	15123
1206	2075	15121
1207	2077	15119
1208	2078	15116
1209	2080	15112
1210	2081	15109
1211	2083	15106
1212	2085	15105
1213	2086	15103
1214	2088	15099
1215	2089	15096
1216	2091	15095
1217	2093	15092
1218	2094	15089
1219	2096	15085
1220	2097	15081
1221	2099	15078
1222	2100	15074
1223	2102	15071
1224	2103	15068
1225	2105	15068
1226	2107	15070
1227	2109	15069
1228	2111	15068
1229	2112	15065
1230	2114	15062
1231	2116	15059
1232	2117	15056
1233	2119	15054
1234	2120	15051
1235	2122	15048
1236	2124	15046
1237	2125	15043
1238	2126	15039
1239	2128	15036
1240	2129	15032
1241	2131	15029
1242	2133	15028
1243	2134	15025
1244	2136	15023
1245	2137	15019
1246	2139	15016
1247	2140	15013
1248	2142	15010
1249	2143	15006
1250	2145	15007
1251	2147	15005
1252	2149	15003
1253	2150	15000
1254	2152	14996
1255	2153	14994
1256	2155	14991
1257	2157	14990
1258	2158	14988
1259	2160	14986
1260	2162	14984
1261	2163	14981
1262	2165	14979
1263	2166	14976
1264	2168	14974
1265	2172	14989
1266	2174	14988
1267	2176	14986
1268	2177	14984
1269	2179	14981
1270	2181	14980
1271	2183	14981
1272	2185	14979
1273	2187	14980
1274	2188	14978
1275	2190	14978
1276	2192	14976
1277	2194	14974
1278	2196	14973
1279	2197	14971
1280	2199	14969
1281	2200	14967
1282	2202	14964
1283	2204	14962
1284	2205	14959
1285	2207	14957
1286	2209	14955
1287	2210	14954
1288	2212	14955
1289	2214	14953
1290	2216	14951
1291	2218	14950
1292	2220	14949
1293	2221	14947
1294	2223	14946
1295	2225	14943
1296	2227	14945
1297	2229	14945
1298	2231	14944
1299	2232	14943
1300	2236	14953
1301	2238	14951
1302	2239	14950
1303	2241	14948
1304	2243	14946
1305	2245	14944
1306	2246	14943
1307	2248	14941
1308	2250	14939
1309	2252	14939
1310	2253	14936
1311	2255	14934
1312	2256	14932
1313	2258	14931
1314	2260	14929
1315	2262	14930
1316	2264	14929
1317	2266	14927
1318	2268	14929
1319	2270	14928
1320	2272	14927
1321	2273	14926
1322	2276	14933
